,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 307,0,0,0,0,0,0,0,0,7.4
Day 308,0,0,0,0,0,0,0,0,7.1
Day 309,0,0,0,0,0,0,0,0,7.1
Day 310,0,0,0,0,0,0,0,0,7
Day 311,0,0,0,0,0,0,0,0,7
Day 312,0,0,0,0,0,0,0,0,7
Day 313,0,0,0,0,0,0,0,0,6.7
Day 314,0,0,0,0,0,0,0,0,6.6
Day 315,0,0,0,0,0,0,0,0,6.3
Day 316,0,0,0,0,0,0,0,0,6.2
Day 317,0,0,0,0,0,0,0,0,6.3
Day 318,0,0,0,0,0,0,0,0,6.2
Day 319,0,0,0,0,0,0,0,0,6
Day 320,0,0,0,0,0,0,0,0,6
Day 321,0,0,0,0,0,0,0,0,5.9
Day 322,0,0,0,0,0,0,0,0,5.9
Day 323,0,0,0,0,0,0,0,0,5.9
Day 324,0,0,0,0,0,0,0,0,5.8
Day 325,0,0,0,0,0,0,0,0,5.8
Day 326,0,0,0,0,0,0,0,0,5.2
Day 327,0,0,0,0,0,0,0,0,5.2
Day 328,0,0,0,0,0,0,0,0,5.5
Day 329,0,0,0,0,0,0,0,0,5.6
Day 330,0,0,0,0,0,0,0,0,5.5
Day 331,0,0,0,0,0,0,0,0,5.1
Day 332,0,0,0,0,0,0,0,0,5.6
Day 333,0,0,0,0,0,0,0,0,5.5
Day 334,0,0,0,0,0,0,0,0,5.2
Day 335,0,0,0,0,0,0,0,0,5.1
Day 336,0,0,0,0,0,0,0,0,5.1
Day 337,0,0,0,0,0,0,0,0,5.1
Day 338,0,0,0,0,0,0,0,0,5.1
Day 339,0,0,0,0,0,0,0,0,5.1
Day 340,0,0,0,0,0,0,0,0,5.2
Day 341,0,0,0,0,0,0,0,0,5.5
Day 342,0,0,0,0,0,0,0,0,5.6
Day 343,0,0,0,0,0,0,0,0,5.1
Day 344,0,0,0,0,0,0,0,0,5.2
Day 345,0,0,0,0,0,0,0,0,5.2
Day 346,4,0,0,0,0,0,0,0,5.1
Day 347,2,0,0,0,0,0,0,0,4.7
Day 348,2,0,0,0,0,0,0,0,4.8
Day 349,0,0,0,0,0,0,0,0,4.8
Day 350,0,0,0,0,0,0,0,0,4.8
Day 351,0,0,0,0,0,0,0,0,4.8
Day 352,0,2,0,0,0,0,0,0,5.1
Day 353,0,0,0,0,0,0,0,0,4.8
Day 354,1,0,0,0,0,0,0,0,4.8
Day 355,0,0,0,0,0,0,0,0,5.1
Day 356,0,0,0,0,0,0,0,0,5.1
Day 357,0,0,0,0,0,0,0,0,5.1
Day 358,3,0,0,0,0,0,0,0,4.9
Day 359,2,0,0,0,0,0,0,0,5.1
Day 360,2,0,0,0,0,0,0,0,4.8
Day 361,2,0,0,0,0,0,0,0,4.8
Day 362,0,0,0,0,0,0,0,0,4.8
Day 363,1,0,0,0,0,0,0,0,5.1
Day 364,0,0,0,0,0,0,0,0,5.1
Day 365,0,0,0,0,0,0,0,0,5.2
Day 366,0,0,0,0,0,0,0,0,5.5
Day 367,0,0,0,0,0,0,0,0,5.2
Day 368,0,0,0,0,0,0,0,0,5.2
Day 369,0,0,0,0,0,0,0,0,5.2
Day 370,0,0,0,0,0,0,0,0,5.1
Day 371,0,0,0,0,0,0,0,0,5.2
Day 372,0,0,0,0,0,0,0,0,5.2
Day 373,0,0,0,0,0,0,0,0,4.8
Day 374,4,0,0,0,0,0,0,0,4.8
Day 375,0,0,0,0,0,0,0,0,5.2
Day 376,1,0,0,0,0,0,0,0,5.1
Day 377,3,0,0,0,0,0,0,0,5.1
Day 378,2,0,0,0,0,0,0,0,4.8
Day 379,2,0,0,0,0,0,0,0,4.7
Day 380,2,0,0,0,0,0,0,0,4.7
Day 381,3,0,0,0,0,0,0,0,4.4
Day 382,2,0,0,0,0,0,0,0,5.1
Day 383,4,0,0,0,0,0,0,0,4.8
Day 384,2,0,0,0,0,0,0,0,4.7
Day 385,2,0,0,0,0,0,0,0,4.9
Day 386,2,0,0,0,0,0,0,0,4.5
Day 387,3,0,0,0,0,0,0,0,4.7
Day 388,2,0,0,0,0,0,0,0,4.7
Day 389,1,0,0,0,0,0,0,0,4.8
Day 390,1,0,0,0,0,0,0,0,4.4
Day 391,1,0,0,0,0,0,0,0,4.5
Day 392,1,0,0,0,0,0,0,0,4.3
Day 393,4,0,0,0,0,0,0,0,4
Day 394,4,0,0,0,0,0,0,0,4
Day 395,0,0,0,0,0,0,0,0,3.9
Day 396,1,0,0,0,0,0,0,0,4.3
Day 397,2,0,0,0,0,0,0,0,3.9
Day 398,2,0,0,0,0,0,0,0,4
Day 399,2,0,0,0,0,0,0,0,4
Day 400,0,0,0,0,0,0,0,0,3.6
Day 401,0,0,0,0,0,0,0,0,4.3
Day 402,1,0,0,0,0,0,0,0,4
Day 403,2,0,0,0,0,0,0,0,3.6
Day 404,1,0,0,0,0,0,0,0,3.9
Day 405,3,0,0,0,0,0,0,0,3.6
Day 406,1,0,0,0,0,0,0,0,3.6
Day 407,0,0,0,0,0,0,0,0,3.5
Day 408,0,0,0,0,0,0,0,0,3.5
Day 409,0,0,0,0,0,0,0,0,4.3
